scene,box,p25,p50,p75,n
03-19 12Z TK,TK,2586.9963710186694,2939.2071378098926,3315.9489859072064,18903
03-20 12Z TK,TK,2288.408527197921,2571.2084277006097,3009.914590662411,6693
03-20 00Z TH,TH,2667.066444864424,2821.734726129116,3007.949257238546,4151
03-20 00Z AH,AH,2498.0514533742,2868.949170546566,3144.8078423901507,5811
03-21 06Z MG,MG,1019.0287041918862,1558.3185712853078,2024.2424751859253,14133
