scheme,receptor,TK1,TK2,MG
A 观测加权(清单原样),Lanzhou,24.13287353515625,75.86712646484375,0.0
A 观测加权(清单原样),Beijing,0.10741742700338364,1.014128565788269,98.87845611572266
B DUEM 加权,Lanzhou,44.78310775756836,55.21689987182617,0.0
B DUEM 加权,Beijing,0.3985552191734314,1.4757744073867798,98.12566375732422
C NNLS 反演,Lanzhou,100.0,0.0,0.0
C NNLS 反演,Beijing,0.13431483413379855,0.0,99.8656851658662
