,TK1,TK1,TK2,TK2,MG,MG
,Lanzhou,Beijing,Lanzhou,Beijing,Lanzhou,Beijing
2023-03-22 09:00:00,2390.8682,0.0,4203.4263,0.0,0.0,106.34425
2023-03-22 10:00:00,1638.7455,0.0,4658.0923,0.0,0.0,159.73943
2023-03-22 11:00:00,2181.4104,0.0,3991.0034,0.0,0.0,66.71207
2023-03-22 12:00:00,1834.1139,0.0,1938.1306,0.0,0.0,37.382248
2023-03-22 13:00:00,2212.1406,0.0,2483.9167,0.0,0.0,65.852264
2023-03-22 14:00:00,2160.672,0.0,1716.2677,0.0,0.0,33.825024
2023-03-22 15:00:00,1603.1725,0.0,1682.331,0.0,0.0,0.0
2023-03-22 16:00:00,1498.1837,0.0,1877.257,0.0,0.0,0.0
2023-03-22 17:00:00,972.3074,0.0,1078.4249,0.0,0.0,0.0
2023-03-22 18:00:00,618.19684,0.0,1308.0587,0.0,0.0,132.55235
2023-03-22 19:00:00,311.07764,0.0,1556.5854,0.0,0.0,398.33032
2023-03-22 20:00:00,389.17017,0.0,1564.6051,0.0,0.0,171.81134
2023-03-22 21:00:00,371.98883,0.0,1518.9888,0.0,0.0,172.8446
2023-03-22 22:00:00,702.468,0.0,1702.5739,0.0,0.0,37.710125
2023-03-22 23:00:00,587.0403,0.0,1940.0298,0.0,0.05258504,0.16925322
2023-03-23 00:00:00,597.32794,0.0,1957.755,0.0,0.5390478,0.0
2023-03-23 01:00:00,617.6378,0.0,1196.868,0.0,0.6635883,19.309952
2023-03-23 02:00:00,867.2165,0.0,453.58377,0.0,459.20264,411.17743
2023-03-23 03:00:00,360.47906,0.0,414.94086,0.0,1429.8394,1534.6273
2023-03-23 04:00:00,2146.0542,0.0,176.0185,0.0,1393.6405,2521.39
2023-03-23 05:00:00,4081.491,0.0,171.11725,0.0,1826.3257,3720.4106
2023-03-23 06:00:00,3512.3997,0.0,479.81216,0.0,1342.7026,3991.1824
2023-03-23 07:00:00,2089.3682,0.0,863.68823,0.0,2011.4637,3877.8545
2023-03-23 08:00:00,933.8174,0.0,702.55304,0.0,2098.4644,3528.613
2023-03-23 09:00:00,1072.3315,0.0,928.33777,0.0,2161.1653,2769.225
2023-03-23 10:00:00,661.0141,0.0,368.3048,0.0,2440.8564,2403.023
2023-03-23 11:00:00,262.8263,0.0,499.7214,0.0,1724.6823,1039.8654
2023-03-23 12:00:00,286.2996,0.0,279.3026,0.0,2829.9084,274.99792
2023-03-23 13:00:00,259.14474,0.0,147.54105,0.0,2768.8835,260.88718
2023-03-23 14:00:00,46.625504,0.0,112.31435,0.0,3200.4268,160.16107
2023-03-23 15:00:00,108.97414,0.0,275.39728,0.0,3657.2722,32.44947
2023-03-23 16:00:00,129.8198,0.0,64.58791,0.0,3119.7595,0.0
2023-03-23 17:00:00,84.61599,0.0,6.6724734,0.0,2363.9778,0.0
2023-03-23 18:00:00,33.988205,0.0,11.736333,0.0,2241.491,0.0
2023-03-23 19:00:00,0.27459672,0.0,58.22023,0.0,2453.9304,0.0
2023-03-23 20:00:00,0.0,0.0,191.12721,0.0,2719.3933,0.0
2023-03-23 21:00:00,1.2228547,0.0,243.86227,0.0,2845.0593,0.0
2023-03-23 22:00:00,0.76837647,0.0,192.10284,0.0,2946.2217,0.0
2023-03-23 23:00:00,6.351969,0.0,293.62415,0.0,2749.4702,0.0
2023-03-24 00:00:00,49.983944,0.0,419.74966,0.0,2397.5266,0.0
2023-03-24 01:00:00,74.34351,0.0,344.9711,0.0,2167.6213,0.0
2023-03-24 02:00:00,81.65691,0.0,333.15735,0.0,1338.5193,0.0
2023-03-24 03:00:00,185.95747,0.0,780.3884,0.0,1249.6382,31.815561
2023-03-24 04:00:00,378.89084,0.0,699.5229,0.0,1136.2836,203.86589
2023-03-24 05:00:00,837.72925,0.0,954.73535,0.0,1037.8308,462.581
2023-03-24 06:00:00,1036.1879,0.0,1297.6615,0.0,1312.1218,575.165
2023-03-24 07:00:00,1934.8016,0.0,1403.5234,0.0,1522.0197,567.2734
2023-03-24 08:00:00,1897.8091,0.0,1690.7335,0.0,1573.9249,718.2078
2023-03-24 09:00:00,2969.1355,0.0,1863.3357,0.0,1766.8147,1295.5835
2023-03-24 10:00:00,2193.7483,0.0,1659.8153,0.0,2032.2205,762.9541
2023-03-24 11:00:00,1515.2891,0.0,987.6279,0.0,2181.7188,285.45798
2023-03-24 12:00:00,2276.8994,0.0,858.3457,0.0,2987.7737,248.56638
2023-03-24 13:00:00,2098.7168,0.0,1117.7052,0.0,3933.1006,413.97473
2023-03-24 14:00:00,1955.9673,0.0,583.35724,0.0,4411.9976,488.4426
2023-03-24 15:00:00,1709.0667,0.0,440.59976,0.0,3427.6846,829.8978
2023-03-24 16:00:00,967.8317,0.0,278.9819,0.0,2797.9377,620.4319
2023-03-24 17:00:00,1827.5475,0.0,407.14917,0.0,2838.1624,435.4018
2023-03-24 18:00:00,2004.9648,0.0,516.08276,0.0,3411.1975,674.1028
2023-03-24 19:00:00,2179.596,0.0,305.40442,0.0,3468.9016,861.7971
2023-03-24 20:00:00,3165.8564,0.0,319.47986,0.0,3267.8167,734.0574
2023-03-24 21:00:00,2890.446,0.0,307.94598,0.0,3555.6155,487.9989
2023-03-24 22:00:00,1689.808,0.0,236.24878,0.0,2977.8848,395.1062
2023-03-24 23:00:00,923.3776,0.0,142.38428,0.0,2539.742,370.68524
2023-03-25 00:00:00,1001.996,0.0,135.65016,0.0,2604.0981,259.75165
2023-03-25 01:00:00,637.2278,0.0,166.06,0.0,4314.248,229.79755
2023-03-25 02:00:00,2772.378,0.0,184.88676,0.0,2523.6655,843.15955
2023-03-25 03:00:00,4012.4878,0.0,402.0876,0.0,2138.538,795.302
2023-03-25 04:00:00,3830.514,0.0,731.81506,4.7910237,2120.3423,962.4965
2023-03-25 05:00:00,3225.0452,0.0,942.9438,4.7910237,1867.4946,1468.8444
2023-03-25 06:00:00,2461.3428,0.0,875.61255,0.0,1791.9681,1021.0452
2023-03-25 07:00:00,2732.1106,0.0,484.35834,0.0,1474.1082,923.13934
2023-03-25 08:00:00,1758.4556,0.0,277.83768,0.0,1255.1431,1100.4978
2023-03-25 09:00:00,2018.2294,0.0,619.6554,0.0,1166.9247,769.6301
2023-03-25 10:00:00,2297.6636,0.0,446.78503,0.0,1111.1743,884.2839
2023-03-25 11:00:00,2818.0535,0.0,344.34714,0.0,1052.1451,965.1755
2023-03-25 12:00:00,1686.8625,0.0,243.61136,0.0,1171.9479,1104.6952
2023-03-25 13:00:00,1746.481,0.0,518.3405,0.0,906.9121,1199.5388
2023-03-25 14:00:00,2103.4697,0.0,1274.5834,0.0,838.7502,1379.1853
2023-03-25 15:00:00,2134.7214,0.0,947.45734,0.0,1010.47046,697.27466
2023-03-25 16:00:00,1246.6122,0.0,631.9971,0.0,1477.0756,209.2889
2023-03-25 17:00:00,1368.5747,0.0,449.37115,0.0,1828.084,73.40933
2023-03-25 18:00:00,2722.1355,0.0,637.6158,0.0,2946.6025,0.51018524
2023-03-25 19:00:00,3078.944,0.0,913.19214,0.0,3273.4968,11.987288
2023-03-25 20:00:00,3145.5156,0.0,904.2727,0.0,3672.8347,2.5216665
2023-03-25 21:00:00,2171.3083,0.0,657.1261,0.0,3592.2256,48.963978
2023-03-25 22:00:00,1309.5518,0.0,354.40594,0.0,3000.6853,169.00356
2023-03-25 23:00:00,1150.7793,0.0,285.7891,0.0,2825.6567,236.57478
2023-03-26 00:00:00,1936.6361,0.0,327.4016,0.0,2545.459,88.42052
2023-03-26 01:00:00,1422.6526,0.0,260.5536,0.0,2862.6907,58.181564
2023-03-26 02:00:00,1036.4637,0.0,93.97375,0.0,1755.2351,0.0
2023-03-26 03:00:00,1201.1493,0.0,60.412247,0.0,1202.6266,0.0
2023-03-26 04:00:00,1656.0718,0.0,86.683784,0.0,1122.7651,147.63927
2023-03-26 05:00:00,983.9222,0.0,96.775536,0.0,1326.5105,174.24854
2023-03-26 06:00:00,1798.0044,0.0,81.28287,0.0,1232.5775,570.9428
2023-03-26 07:00:00,2112.8643,0.0,70.3213,0.0,1337.7854,844.22015
2023-03-26 08:00:00,1029.0797,0.0,147.65555,0.0,1289.5171,1009.1286
2023-03-26 09:00:00,954.9223,0.0,29.735832,0.0,980.40344,402.18353
2023-03-26 10:00:00,1249.9851,0.0,41.77755,0.0,715.4483,854.8271
2023-03-26 11:00:00,828.91125,0.0,71.87367,0.0,821.8503,503.6631
2023-03-26 12:00:00,1393.1158,0.0,17.59884,0.0,413.16724,496.218
2023-03-26 13:00:00,862.7302,0.0,0.8830214,0.0,128.23315,892.41766
2023-03-26 14:00:00,585.58325,0.0,0.01846484,0.0,457.42126,1250.539
2023-03-26 15:00:00,74.51837,0.0,1.7376883,0.0,655.8193,1092.2495
2023-03-26 16:00:00,187.10919,0.0,80.62604,0.0,586.0057,873.9946
2023-03-26 17:00:00,284.38776,0.0,286.9945,0.0,417.0611,1241.3186
2023-03-26 18:00:00,296.91785,0.0,210.39073,0.0,503.99594,1388.925
2023-03-26 19:00:00,171.51242,0.0,81.5285,0.0,591.04083,1292.1234
2023-03-26 20:00:00,238.50272,0.0,98.482834,0.0,629.23346,1132.2528
2023-03-26 21:00:00,200.46594,0.0,172.63931,0.0,558.8341,604.2337
2023-03-26 22:00:00,531.13794,0.0,115.14465,0.0,523.28094,141.07706
2023-03-26 23:00:00,635.0388,0.0,228.76744,0.0,468.5504,39.739048
2023-03-27 00:00:00,694.5286,0.0,292.595,0.0,306.58337,27.281685
